ForgettingFactor,precision,recall,f1-score
0.9,0.995,0.39,0.560361011
0.905,0.998,0.42,0.591198872
0.91,0.999,0.45,0.620496894
0.915,1,0.5,0.666666667
0.92,1,0.58,0.734177215
0.925,1,0.65,0.787878788
0.93,1,0.8,0.888888889
0.935,1,0.9,0.947368421
0.94,1,0.91,0.952879581
0.945,1,0.92,0.958333333
0.95,1,0.93,0.96373057
0.955,1,0.94,0.969072165
0.96,1,0.95,0.974358974
0.965,1,0.96,0.979591837
0.97,1,0.97,0.984771574
0.975,1,0.98,0.98989899
0.98,1,0.985,0.992443325
0.985,1,0.99,0.994974874
0.99,1,0.994,0.996990973
0.995,1,0.995,0.997493734
1,1,0.998,0.998998999